Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
AHAMED ALI,Independent,90,Karnataka,Bhadravati,S10,112
KOMALA KUMARI. R,Independent,64,Karnataka,Bhadravati,S10,112
None of the Above,None of the Above,1255,Karnataka,Bhadravati,S10,112
K.S. ESHWARAPPA,Bharatiya Janata Party,93217,Karnataka,Shimoga,S10,113
K.B. PRASANNA KUMAR,Indian National Congress,48297,Karnataka,Shimoga,S10,113
H.N. NIRANJAN,Janata Dal  (Secular),5141,Karnataka,Shimoga,S10,113
RAVIKISHAN,Independent,597,Karnataka,Shimoga,S10,113
G.NARASIMHAMURTHY (BABANNA),Independent,534,Karnataka,Shimoga,S10,113
A.YASEEN MUBARAK,Independent,533,Karnataka,Shimoga,S10,113
MOHAMMED YUSUF KHAN,All India Mahila Empowerment Party,334,Karnataka,Shimoga,S10,113
SHAFINAZ BEGAM,Independent,281,Karnataka,Shimoga,S10,113
DR.NARENDRA P.L.,Independent,177,Karnataka,Shimoga,S10,113
GO.RAMESH GOWDA,Jana Samanyara Party (Karnataka),132,Karnataka,Shimoga,S10,113
S VASANTHA KUMAR,Independent,100,Karnataka,Shimoga,S10,113
NOOR AHMED N.,Independent,99,Karnataka,Shimoga,S10,113
B.S.SRINATH (CHINNY),Independent,96,Karnataka,Shimoga,S10,113
M.RAMESH,Republican Sena,95,Karnataka,Shimoga,S10,113
B.CHANNABASAPPA,Independent,72,Karnataka,Shimoga,S10,113
CHANDRASHEKHAR H.G.,Independent,68,Karnataka,Shimoga,S10,113
SUREKHA.P.V.,"Proutist Bloc, India",64,Karnataka,Shimoga,S10,113
KHAJA GAREEBUN NAWAB M,Independent,50,Karnataka,Shimoga,S10,113
M.SAMIULLA,Namma Congress,45,Karnataka,Shimoga,S10,113
ASHOK DODDA THALAVAR,Independent,41,Karnataka,Shimoga,S10,113
None of the Above,None of the Above,794,Karnataka,Shimoga,S10,113
ARAGA JNANENDRA,Bharatiya Janata Party,67527,Karnataka,Tirthahalli,S10,114
KIMMANE RATHNAKARA,Indian National Congress,45572,Karnataka,Tirthahalli,S10,114
R.M. MANJUNATHA GOWDA,Janata Dal  (Secular),40127,Karnataka,Tirthahalli,S10,114
A.PUTTHABBA,All India Mahila Empowerment Party,762,Karnataka,Tirthahalli,S10,114
SRILATHA SHETTY,Independent,525,Karnataka,Tirthahalli,S10,114
SRINIVASA N S,Independent,477,Karnataka,Tirthahalli,S10,114
T MUNEER,Independent,396,Karnataka,Tirthahalli,S10,114
RATHNAKARA,Independent,339,Karnataka,Tirthahalli,S10,114
None of the Above,None of the Above,1195,Karnataka,Tirthahalli,S10,114
B S YADIYURAPPA,Bharatiya Janata Party,78911,Karnataka,Shikaripura,S10,115
GONI MALATESHA,Indian National Congress,46503,Karnataka,Shikaripura,S10,115
H T BALEGAR,Janata Dal  (Secular),11885,Karnataka,Shikaripura,S10,115
CHANDRAKANTA S REVANAKAR,Aam Aadmi Party,639,Karnataka,Shikaripura,S10,115
VINAY K C RAJAVATH,Independent,407,Karnataka,Shikaripura,S10,115
N HANUMEGOWDA,Independent,308,Karnataka,Shikaripura,S10,115
KOPPALU MANJANNA,Independent,299,Karnataka,Shikaripura,S10,115
KOTESHWARA,Independent,187,Karnataka,Shikaripura,S10,115
ANIL M R,Independent,181,Karnataka,Shikaripura,S10,115
None of the Above,None of the Above,798,Karnataka,Shikaripura,S10,115
S.KUMARA BANGARAPPA,Bharatiya Janata Party,71703,Karnataka,Sorab,S10,116
S.MADHU BANGARAPPA,Janata Dal  (Secular),58426,Karnataka,Sorab,S10,116
RAJU. M. TALLURU,Indian National Congress,21638,Karnataka,Sorab,S10,116
ASADULLA T.K (ASOOD),All India Mahila Empowerment Party,748,Karnataka,Sorab,S10,116
SHAKUNTHALA SHIVAMURTHYGOWDA,Independent,738,Karnataka,Sorab,S10,116
PRAKASH SHIVAPPA TALAVARA.,Independent,416,Karnataka,Sorab,S10,116
J.S CHIDANANDA GOWDA JEDAGERI,Independent,346,Karnataka,Sorab,S10,116
H.B.GANGADHARAPPA. HUNAVALLI,Swaraj India,287,Karnataka,Sorab,S10,116
None of the Above,None of the Above,1037,Karnataka,Sorab,S10,116
H HALAPPA HARATHALU,Bharatiya Janata Party,63204,Karnataka,Sagar,S10,117
KAGODU THIMMAPPA,Indian National Congress,57690,Karnataka,Sagar,S10,117
M B GIRISHGOWDA,Janata Dal  (Secular),1573,Karnataka,Sagar,S10,117
KALAVATHI,All India Mahila Empowerment Party,705,Karnataka,Sagar,S10,117
KAMBALIKOPPA K LAKSHMANA,Independent,349,Karnataka,Sagar,S10,117
HARATE GAMAPPA MASTER,Independent,329,Karnataka,Sagar,S10,117
DUGURU PARAMESHWARA,Swaraj India,307,Karnataka,Sagar,S10,117
PADMAVATHI,Independent,196,Karnataka,Sagar,S10,117
None of the Above,None of the Above,1220,Karnataka,Sagar,S10,117
B. M. SUKUMAR SHETTY,Bharatiya Janata Party,86053,Karnataka,Byndoor,S10,118
K. GOPALA POOJARY,Indian National Congress,65205,Karnataka,Byndoor,S10,118
SURESH KALLAGAR,Communist Party of India  (Marxist),2120,Karnataka,Byndoor,S10,118
RAVI SHETTY,Janata Dal  (Secular),1750,Karnataka,Byndoor,S10,118
B. SUBRAMANYA BIJOOR,Independent,884,Karnataka,Byndoor,S10,118
H SURESH POOJARI,Independent,718,Karnataka,Byndoor,S10,118
ABDUL HAJEED,All India Mahila Empowerment Party,610,Karnataka,Byndoor,S10,118
MARAKALA MANJUNATHA BASAVA,Independent,363,Karnataka,Byndoor,S10,118
MANJUNATHA NAIK KOLLUR,Independent,274,Karnataka,Byndoor,S10,118
None of the Above,None of the Above,1487,Karnataka,Byndoor,S10,118
HALADY SRINIVAS SHETTY,Bharatiya Janata Party,98444,Karnataka,Kundapura,S10,119
RAKESH MALLI,Indian National Congress,44771,Karnataka,Kundapura,S10,119
THEKKATTE PRAKASH SHETTY,Janata Dal  (Secular),2618,Karnataka,Kundapura,S10,119
RAJIV KOTIAN,Janata Dal  (United),2501,Karnataka,Kundapura,S10,119
SUDHAKARA SOORGOLI,Republican Party of India (A),1003,Karnataka,Kundapura,S10,119
None of the Above,None of the Above,1757,Karnataka,Kundapura,S10,119
K RAGHUPATHI BHAT,Bharatiya Janata Party,62873,Karnataka,Udupi,S10,120
PRAMOD MADHWARAJ,Indian National Congress,54677,Karnataka,Udupi,S10,120
BIRTHI GANGANDHAR BHANDARY,Janata Dal  (Secular),1050,Karnataka,Udupi,S10,120
MADHUKARA MUDRADI,Shivsena,470,Karnataka,Udupi,S10,120
Y S VISHWANATH,All India Mahila Empowerment Party,346,Karnataka,Udupi,S10,120
SUDHEER KANCHAN,Independent,336,Karnataka,Udupi,S10,120
MAHESHA THADEKALLU,Independent,331,Karnataka,Udupi,S10,120
SHEKAR HAVANJE,Bharatiya Republican Paksha,279,Karnataka,Udupi,S10,120
None of the Above,None of the Above,832,Karnataka,Udupi,S10,120
LALAJI .R. MENDON,Bharatiya Janata Party,62305,Karnataka,Kapu,S10,121
VINAY KUMAR SORAKE,Indian National Congress,52086,Karnataka,Kapu,S10,121
ANUPAMA SHENOY,Bhaarateeya Janashakthi Congress,1342,Karnataka,Kapu,S10,121
M.MANSOOR IBRAHIM,Janata Dal  (Secular),1177,Karnataka,Kapu,S10,121
ABDUL RAHIMAN,All India Mahila Empowerment Party,612,Karnataka,Kapu,S10,121
None of the Above,None of the Above,729,Karnataka,Kapu,S10,121
V. SUNIL KUMAR,Bharatiya Janata Party,91245,Karnataka,Karkal,S10,122
GOPALA BHANDARY,Indian National Congress,48679,Karnataka,Karkal,S10,122
MAKSOOD AHAMED,All India Mahila Empowerment Party,1817,Karnataka,Karkal,S10,122
UDAY KUMAR,Bahujan Samaj Party,1348,Karnataka,Karkal,S10,122
SUMANTHA K POOJARY,Independent,554,Karnataka,Karkal,S10,122
ASHRAF ALI,Independent,539,Karnataka,Karkal,S10,122
ABDUL AZIZ,Independent,413,Karnataka,Karkal,S10,122
None of the Above,None of the Above,1340,Karnataka,Karkal,S10,122
T D RAJEGOWDA,Indian National Congress,52945,Karnataka,Sringeri,S10,123
D N JEEVARAJ,Bharatiya Janata Party,51419,Karnataka,Sringeri,S10,123
H G VENKATESH,Janata Dal  (Secular),8672,Karnataka,Sringeri,S10,123
PRAVEEN KHANDYA,Independent,1027,Karnataka,Sringeri,S10,123
ABRAHAM,Independent,401,Karnataka,Sringeri,S10,123
M K DAYANANDA,Proutist Sarva Samaj,353,Karnataka,Sringeri,S10,123
MAHESHKUMAR K V,Shivsena,222,Karnataka,Sringeri,S10,123
K C PRAKASH,Independent,162,Karnataka,Sringeri,S10,123
None of the Above,None of the Above,827,Karnataka,Sringeri,S10,123
M.P.KUMARASWAMY,Bharatiya Janata Party,58783,Karnataka,Mudigere,S10,124
MOTAMMA,Indian National Congress,46271,Karnataka,Mudigere,S10,124
B.B.NINGAIAH,Janata Dal  (Secular),22063,Karnataka,Mudigere,S10,124
ANILKUMAR.N.G,All India Mahila Empowerment Party,988,Karnataka,Mudigere,S10,124
S.VENKATESH,Independent,555,Karnataka,Mudigere,S10,124
NINGAIAH,Purvanchal Mahapanchayat,397,Karnataka,Mudigere,S10,124
MUNIYAPPA,Independent,346,Karnataka,Mudigere,S10,124
NANJUNDA MASTER,Independent,259,Karnataka,Mudigere,S10,124
ARUN KUMAR.B,Independent,187,Karnataka,Mudigere,S10,124
LAXMANA,Republican Sena,148,Karnataka,Mudigere,S10,124
None of the Above,None of the Above,1321,Karnataka,Mudigere,S10,124
C T RAVI,Bharatiya Janata Party,65773,Karnataka,Chikmagalur,S10,125
SHANKAR B L,Indian National Congress,42335,Karnataka,Chikmagalur,S10,125
HARISHA B H,Janata Dal  (Secular),35501,Karnataka,Chikmagalur,S10,125
M G VIJAYAKUMAR,Independent,1308,Karnataka,Chikmagalur,S10,125
LAKSHMANA,Independent,811,Karnataka,Chikmagalur,S10,125
VISHWANATHAN M,Independent,726,Karnataka,Chikmagalur,S10,125
NURULLA KHAN,All India Mahila Empowerment Party,497,Karnataka,Chikmagalur,S10,125
B V RANJITH,Shivsena,345,Karnataka,Chikmagalur,S10,125
K R RAMASHETTY,Independent,296,Karnataka,Chikmagalur,S10,125
H D REVANNA,Independent,262,Karnataka,Chikmagalur,S10,125
JOHAR ANJUM,Independent,258,Karnataka,Chikmagalur,S10,125
G M JAYAKUMAR,Independent,221,Karnataka,Chikmagalur,S10,125
K ANANDASHETTY,Independent,220,Karnataka,Chikmagalur,S10,125
MOHSINA,Independent,202,Karnataka,Chikmagalur,S10,125
YOGEESHA N H,Independent,190,Karnataka,Chikmagalur,S10,125
MANSOOR AHMED,Independent,188,Karnataka,Chikmagalur,S10,125
MUNIYA BHOVI,Independent,109,Karnataka,Chikmagalur,S10,125
B M THIMMA SHETTY,Independent,109,Karnataka,Chikmagalur,S10,125
None of the Above,None of the Above,1138,Karnataka,Chikmagalur,S10,125
D S SURESH,Bharatiya Janata Party,43562,Karnataka,Tarikere,S10,126
G H SRINIVASA,Independent,31409,Karnataka,Tarikere,S10,126
H M GOPI,Independent,28416,Karnataka,Tarikere,S10,126
S M NAGARAJU,Indian National Congress,19579,Karnataka,Tarikere,S10,126
T H SHIVASHANKARAPPA,Janata Dal  (Secular),13679,Karnataka,Tarikere,S10,126
KHALEEL,Republican Sena,1980,Karnataka,Tarikere,S10,126
AKSHAY L B,Karnataka Pragnyavantha Janatha Party,1192,Karnataka,Tarikere,S10,126
SRINATH S,Independent,718,Karnataka,Tarikere,S10,126
D C SURESH,Independent,672,Karnataka,Tarikere,S10,126
SADIQ PASHA,Independent,495,Karnataka,Tarikere,S10,126
KANTHARAJA N S,Independent,368,Karnataka,Tarikere,S10,126
MANJUNATH B S,All India Mahila Empowerment Party,308,Karnataka,Tarikere,S10,126
None of the Above,None of the Above,725,Karnataka,Tarikere,S10,126
K S PRAKASH,Bharatiya Janata Party,61264,Karnataka,Kadur,S10,127
Y S V DATTA,Janata Dal  (Secular),46272,Karnataka,Kadur,S10,127
K S ANAND,Indian National Congress,45739,Karnataka,Kadur,S10,127
NAGARAJ N T,Karnataka Pragnyavantha Janatha Party,698,Karnataka,Kadur,S10,127
C M RUDRESH,Independent,546,Karnataka,Kadur,S10,127
H PRADEEP,Independent,478,Karnataka,Kadur,S10,127
THIMMEGOWDA H G,Independent,403,Karnataka,Kadur,S10,127
LATHA H K,All India Mahila Empowerment Party,336,Karnataka,Kadur,S10,127
NAGARAJA K H,Independent,302,Karnataka,Kadur,S10,127
SHYLA MOHAN,Samanya Janatha Party (Loktantrik),222,Karnataka,Kadur,S10,127
G YARADAKERE Y N KANTHARAJU,Independent,197,Karnataka,Kadur,S10,127
K R GANGADHARAPPA,Independent,195,Karnataka,Kadur,S10,127
None of the Above,None of the Above,1072,Karnataka,Kadur,S10,127
J.C. MADHU SWAMY,Bharatiya Janata Party,17769,Karnataka,Chiknayakanhalli,S10,128
SANTHOSH JAYACHANDRA,Indian National Congress,14039,Karnataka,Chiknayakanhalli,S10,128
C.B SURESHBABU,Janata Dal  (Secular),12625,Karnataka,Chiknayakanhalli,S10,128
RAMACHANDRAIAH,Indian New Congress Party,322,Karnataka,Chiknayakanhalli,S10,128
DR.M.K PASHA,All India Mahila Empowerment Party,273,Karnataka,Chiknayakanhalli,S10,128
K.S. SATHEESH KENKERE,Karnataka Rajya Ryota Sangha,232,Karnataka,Chiknayakanhalli,S10,128
H.P. RANGALAKSHMI,Independent,197,Karnataka,Chiknayakanhalli,S10,128
RANGASWAMY K,Independent,121,Karnataka,Chiknayakanhalli,S10,128
HOSAHALLI CHANDRANNA,Independent,114,Karnataka,Chiknayakanhalli,S10,128
JAGRUTHI ANANDA .S,Independent,83,Karnataka,Chiknayakanhalli,S10,128
M.V. REDDY,Janata Dal  (United),76,Karnataka,Chiknayakanhalli,S10,128
None of the Above,None of the Above,335,Karnataka,Chiknayakanhalli,S10,128
B.C. NAGESH,Bharatiya Janata Party,31991,Karnataka,Tiptur,S10,129
K. SHADAKSHARI,Indian National Congress,17546,Karnataka,Tiptur,S10,129
K.T. SHANTHAKUMAR,Independent,6510,Karnataka,Tiptur,S10,129
LOKESHWARA,Janata Dal  (Secular),4866,Karnataka,Tiptur,S10,129
G. NARAYAN,Independent,4453,Karnataka,Tiptur,S10,129
B. NANJAMARI,Independent,2020,Karnataka,Tiptur,S10,129
T N KUMARASWAMY,Independent,1574,Karnataka,Tiptur,S10,129
MYLARI .M.,Independent,709,Karnataka,Tiptur,S10,129
M. RAMESHA,All India Mahila Empowerment Party,275,Karnataka,Tiptur,S10,129
T. SHIVANAG,Independent,220,Karnataka,Tiptur,S10,129
DR. S. SHOBHA,Independent,189,Karnataka,Tiptur,S10,129
ANANTHASHAYANA .A.T.,Independent,176,Karnataka,Tiptur,S10,129
SANTHOSH BHYRATAE,Shivsena,156,Karnataka,Tiptur,S10,129
R S RAJASHEKHAR,Independent,124,Karnataka,Tiptur,S10,129
N.L. MALLESH (MALLI),Independent,87,Karnataka,Tiptur,S10,129
None of the Above,None of the Above,425,Karnataka,Tiptur,S10,129
JAYARAM A S,Bharatiya Janata Party,14951,Karnataka,Turuvekere,S10,130
M T KRISHNAPPA,Janata Dal  (Secular),12816,Karnataka,Turuvekere,S10,130
RANGAPPA T CHOWDRI,Indian National Congress,6629,Karnataka,Turuvekere,S10,130
M.NARAYAN GOWDA,Independent,835,Karnataka,Turuvekere,S10,130
M D RAMESH,Independent,448,Karnataka,Turuvekere,S10,130
H L SANJEEVAIAH,Independent,116,Karnataka,Turuvekere,S10,130
KAPANIGOWDA,Independent,84,Karnataka,Turuvekere,S10,130
RAGHAVENDRA M J LAD,Independent,60,Karnataka,Turuvekere,S10,130
KRISHNAPPA,Independent,46,Karnataka,Turuvekere,S10,130
G S BASAVALINGAIAH,Independent,44,Karnataka,Turuvekere,S10,130
RAMESH B M,Independent,38,Karnataka,Turuvekere,S10,130
None of the Above,None of the Above,208,Karnataka,Turuvekere,S10,130
DR,,H.D. RANGANATH,Indian National Congress,39882,Karnataka,Kunigal
D KRISHNA KUMAR,Bharatiya Janata Party,37442,Karnataka,Kunigal,S10,131
D. NAGARAJAIAH,Janata Dal  (Secular),27601,Karnataka,Kunigal,S10,131
ANAND PATEL HULIKATTE,Karnataka Rajya Ryota Sangha,1751,Karnataka,Kunigal,S10,131
H B SHIVALINGAIAH,Independent,343,Karnataka,Kunigal,S10,131
BHAGYALAKSHMI E,Independent,219,Karnataka,Kunigal,S10,131
H.A JAYARAMAIAH,Independent,178,Karnataka,Kunigal,S10,131
HERUR DHANARAJ,Republican Party of India (A),159,Karnataka,Kunigal,S10,131
B.T. THIRUMALEGOWDA,Independent,144,Karnataka,Kunigal,S10,131
LAKSHMINARAYANA GOWDA,Samajwadi Party,87,Karnataka,Kunigal,S10,131
None of the Above,None of the Above,568,Karnataka,Kunigal,S10,131
DR. RAFEEQ AHMED. S.,Indian National Congress,37530,Karnataka,Tumkur City,S10,132
G.B. JYOTHI GANESH,Bharatiya Janata Party,35899,Karnataka,Tumkur City,S10,132
N. GOVINDARAJU,Janata Dal  (Secular),35635,Karnataka,Tumkur City,S10,132
C.THIPPESWAMY,Samanya Janatha Party (Loktantrik),253,Karnataka,Tumkur City,S10,132
R. SHARIFF (AFSAR),Independent,224,Karnataka,Tumkur City,S10,132
PRAKASH R.A. JAIN,Independent,174,Karnataka,Tumkur City,S10,132
NISSAR AHMED (ARIF),All India Mahila Empowerment Party,111,Karnataka,Tumkur City,S10,132
NAGARAJU R,Independent,82,Karnataka,Tumkur City,S10,132
VEERAPPA DEVARU R. S.,Janata Dal  (United),80,Karnataka,Tumkur City,S10,132
BABAJAN (DUBAIBABU),Karnataka Pragnyavantha Janatha Party,74,Karnataka,Tumkur City,S10,132
RAJU,Karnataka Jantha Paksha,70,Karnataka,Tumkur City,S10,132
RESHMA MARIAM,Federal Congress of India,67,Karnataka,Tumkur City,S10,132
MANJULA M,Rashtriya Manav Vikas Party,51,Karnataka,Tumkur City,S10,132
None of the Above,None of the Above,871,Karnataka,Tumkur City,S10,132
D C GOWRISHANKAR,Janata Dal  (Secular),75646,Karnataka,Tumkur Rural,S10,133
B SURESH GOWDA,Bharatiya Janata Party,70533,Karnataka,Tumkur Rural,S10,133
RAYASANDRA RAVIKUMAR,Indian National Congress,7176,Karnataka,Tumkur Rural,S10,133
SIDDARAMEGOWDA T B,Independent,826,Karnataka,Tumkur Rural,S10,133
TAJUDDIN SHARIFF,Welfare Party Of India,674,Karnataka,Tumkur Rural,S10,133
K V SRINIVASKALKERE,Independent,453,Karnataka,Tumkur Rural,S10,133
SUNIL YADAV S,All India Mahila Empowerment Party,328,Karnataka,Tumkur Rural,S10,133
SHABBIR AHMED,Independent,214,Karnataka,Tumkur Rural,S10,133
ANWAR,Independent,194,Karnataka,Tumkur Rural,S10,133
ARUN GOWDA H B,Independent,140,Karnataka,Tumkur Rural,S10,133
YOGANARASIMHAMURTHY T H,Independent,126,Karnataka,Tumkur Rural,S10,133
GULURU RANGAIAH NAGARAJU,Independent,87,Karnataka,Tumkur Rural,S10,133
None of the Above,None of the Above,1401,Karnataka,Tumkur Rural,S10,133
DR. G. PARAMESHWARA,Indian National Congress,42862,Karnataka,Koratagere,S10,134
P.R. SUDHAKAR LAL,Janata Dal  (Secular),38200,Karnataka,Koratagere,S10,134
Y.H. HUCHHAIAH,Bharatiya Janata Party,6579,Karnataka,Koratagere,S10,134
K V SRINIVAS KALKERE,Independent,315,Karnataka,Koratagere,S10,134
SATHYAPPA,All India Mahila Empowerment Party,187,Karnataka,Koratagere,S10,134
SHANTHA KUMAR V,Independent,165,Karnataka,Koratagere,S10,134
MUTHURAJU P M,Independent,111,Karnataka,Koratagere,S10,134
DR. NANDINI A.C,Independent,111,Karnataka,Koratagere,S10,134
GANGAIAH.N.S,Independent,90,Karnataka,Koratagere,S10,134
VENKATESHA,Independent,78,Karnataka,Koratagere,S10,134
A V NAGARAJU,Independent,65,Karnataka,Koratagere,S10,134
None of the Above,None of the Above,727,Karnataka,Koratagere,S10,134
S R SRINIVAS (VASU),Janata Dal  (Secular),27439,Karnataka,Gubbi,S10,135
G N BETTASWAMY,Bharatiya Janata Party,23640,Karnataka,Gubbi,S10,135
S D DILIP KUMAR (SHIVASANDRA),Independent,16812,Karnataka,Gubbi,S10,135
K KUMAR (BALAJI KUMAR),Indian National Congress,6750,Karnataka,Gubbi,S10,135
H T KRISHNAPPA,Independent,1842,Karnataka,Gubbi,S10,135
PRABHUSWAMI B S,Aam Aadmi Party,639,Karnataka,Gubbi,S10,135
BETTASWAMY,Independent,520,Karnataka,Gubbi,S10,135
DILEEP KUMAR K U,Independent,473,Karnataka,Gubbi,S10,135
SRINIVAS,Independent,355,Karnataka,Gubbi,S10,135
SHIVAKUMAR M S,Karnataka Pragnyavantha Janatha Party,294,Karnataka,Gubbi,S10,135
NAGANNA G K,Independent,234,Karnataka,Gubbi,S10,135
A B AJAZ PASHA,Independent,142,Karnataka,Gubbi,S10,135
RAJU  B S,All India Mahila Empowerment Party,123,Karnataka,Gubbi,S10,135
RAVIKUMAR M K,Republican Sena,117,Karnataka,Gubbi,S10,135
None of the Above,None of the Above,238,Karnataka,Gubbi,S10,135
B SATHYANARAYANA,Janata Dal  (Secular),34428,Karnataka,Sira,S10,136
T B JAYACHANDRA,Indian National Congress,26795,Karnataka,Sira,S10,136
C M NAGARAJU,Independent,8093,Karnataka,Sira,S10,136
S R GOWDA,Bharatiya Janata Party,2686,Karnataka,Sira,S10,136
CHIDANAND M GOWDA,Independent,2229,Karnataka,Sira,S10,136
GIREESH,Communist Party of India,527,Karnataka,Sira,S10,136
KAVITHA R MANANGI,Samanya Janatha Party (Loktantrik),492,Karnataka,Sira,S10,136
S N KANTHARAJU,Independent,277,Karnataka,Sira,S10,136
SHASHIKUMAR SIRA,Independent,270,Karnataka,Sira,S10,136
B A MANJUNATHA,Independent,260,Karnataka,Sira,S10,136
GURUSIDDAPPA M.,Independent,223,Karnataka,Sira,S10,136
M L A R KAMBANNA,Independent,222,Karnataka,Sira,S10,136
RANGAPPA,Independent,198,Karnataka,Sira,S10,136
D LAKSHMAIAH,Independent,143,Karnataka,Sira,S10,136
K MANJUNATHA,Independent,122,Karnataka,Sira,S10,136
None of the Above,None of the Above,252,Karnataka,Sira,S10,136
K M THIMMARAYAPPA,Janata Dal  (Secular),33258,Karnataka,Pavagada,S10,137
VENKATARAMANAPPA,Indian National Congress,31874,Karnataka,Pavagada,S10,137
G.V.BALARAM,Bharatiya Janata Party,5639,Karnataka,Pavagada,S10,137
G.MUTHYALAPPA,Lok Awaz Dal,323,Karnataka,Pavagada,S10,137
VENKATAPPA,Samanya Janatha Party (Loktantrik),136,Karnataka,Pavagada,S10,137
HANUMANTHARAYAPPA,Independent,98,Karnataka,Pavagada,S10,137
HANUMANTHARAYA.O,Independent,75,Karnataka,Pavagada,S10,137
MADLETAPPA,Independent,55,Karnataka,Pavagada,S10,137
P.MURTHY,All India Mahila Empowerment Party,49,Karnataka,Pavagada,S10,137
DUGGAMMA,Independent,46,Karnataka,Pavagada,S10,137
B.T.RAMASUBBAIAH,BhartiyaBahujanKranti Dal,43,Karnataka,Pavagada,S10,137
L.GANGADHARA,Independent,43,Karnataka,Pavagada,S10,137
RAMESH NAIK.R,Samajwadi Party,40,Karnataka,Pavagada,S10,137
None of the Above,None of the Above,296,Karnataka,Pavagada,S10,137
M.V. VEERABHADRAIAH,Janata Dal  (Secular),48148,Karnataka,Madhugiri,S10,138
KYATHASANDRA N.RAJANNA,Indian National Congress,34250,Karnataka,Madhugiri,S10,138
RAMESH REDDY S.E.,Bharatiya Janata Party,1230,Karnataka,Madhugiri,S10,138
VEERABHADRESHAIAH,Independent,858,Karnataka,Madhugiri,S10,138
MUJEEBUR REHMAN,All India Mahila Empowerment Party,362,Karnataka,Madhugiri,S10,138
SRINIVASA,Independent,246,Karnataka,Madhugiri,S10,138
K.R.RAJANNA,Independent,218,Karnataka,Madhugiri,S10,138
UDAYA KUMARA,Independent,73,Karnataka,Madhugiri,S10,138
MARUTHI G.H.,Independent,69,Karnataka,Madhugiri,S10,138
RAGHAVENDRA S.V.,Samajwadi Party,63,Karnataka,Madhugiri,S10,138
K.C.CHOWDAPPA KABATHANAHALLY,Independent,56,Karnataka,Madhugiri,S10,138
BALARAMA S T,Independent,48,Karnataka,Madhugiri,S10,138
LEADER BHASKAR,Independent,46,Karnataka,Madhugiri,S10,138
SYED MUZAMIL PASHA,Karnataka Pragnyavantha Janatha Party,45,Karnataka,Madhugiri,S10,138
B.M.CHOLARAJU ADVOCATE (B.M.C.RAJU),Independent,35,Karnataka,Madhugiri,S10,138
None of the Above,None of the Above,186,Karnataka,Madhugiri,S10,138
N.H.SHIVASHANKARA REDDY,Indian National Congress,35475,Karnataka,Gauribidanur,S10,139
C.R.NARASIMHAMURTHY,Janata Dal  (Secular),32980,Karnataka,Gauribidanur,S10,139
K.JAIPAL REDDY,Bharatiya Janata Party,17110,Karnataka,Gauribidanur,S10,139
ANANTHA.G. (P.T.MASTER),Republican Party of India (A),744,Karnataka,Gauribidanur,S10,139
N.R.RAVICHANDRAREDDY,Communist Party of India  (Marxist),585,Karnataka,Gauribidanur,S10,139
V.C.SACHIDANANDAMURTHY,Bhaarateeya Janashakthi Congress,313,Karnataka,Gauribidanur,S10,139
N.HANUMANTHANAYAKA,Independent,227,Karnataka,Gauribidanur,S10,139
G.R.MOHAN KUMAR,Independent,186,Karnataka,Gauribidanur,S10,139
YOGEESHA. H.V.,All India Mahila Empowerment Party,132,Karnataka,Gauribidanur,S10,139
D.PALYA. KHADAR SUBHAN KHAN,Samajwadi Party,108,Karnataka,Gauribidanur,S10,139
G.N.RAVI,Independent,106,Karnataka,Gauribidanur,S10,139
AMJAD KHAN (NADIM),Independent,103,Karnataka,Gauribidanur,S10,139
DEVAKI. B.A.,Pyramid Party of India,89,Karnataka,Gauribidanur,S10,139
None of the Above,None of the Above,426,Karnataka,Gauribidanur,S10,139
S.N. SUBBAREDDY(CHINNAKAYALAPALLI),Indian National Congress,56104,Karnataka,Bagepalli,S10,140
G.V. SREERAMAREDDY,Communist Party of India  (Marxist),44191,Karnataka,Bagepalli,S10,140
DR. C. R. MANOHAR,Janata Dal  (Secular),32041,Karnataka,Bagepalli,S10,140
SAIKUMAR. P.,Bharatiya Janata Party,3523,Karnataka,Bagepalli,S10,140
TAHSEEN TAJ,Samajwadi Party,712,Karnataka,Bagepalli,S10,140
GUNJURU R SRINIVASAREDDY,Independent,703,Karnataka,Bagepalli,S10,140
A. N. NARENDRA  MELINA APPIREEDY HALLI,Independent,588,Karnataka,Bagepalli,S10,140
T. S .SOMASHEKAR,Independent,368,Karnataka,Bagepalli,S10,140
T. RAMAPPA,Independent,255,Karnataka,Bagepalli,S10,140
UTTAMKUMAR. V,Independent,134,Karnataka,Bagepalli,S10,140
S. N. GOVINDAREDDY.,Independent,114,Karnataka,Bagepalli,S10,140
H. N. RAMAKRISHNA REDDY,Pyramid Party of India,110,Karnataka,Bagepalli,S10,140
V. NARASIMHAMURTHY,Lok Awaz Dal,109,Karnataka,Bagepalli,S10,140
R. MUNIRAJU.,Samanya Janatha Party (Loktantrik),104,Karnataka,Bagepalli,S10,140
B. A. BABAJAN,All India Mahila Empowerment Party,98,Karnataka,Bagepalli,S10,140
None of the Above,None of the Above,600,Karnataka,Bagepalli,S10,140
DR. K. SUDHAKAR,Indian National Congress,82006,Karnataka,Chikkaballapur,S10,141
K.P.BACHEGOWDA,Janata Dal  (Secular),51575,Karnataka,Chikkaballapur,S10,141
NAVEEN KIRAN K.V.,Independent,29433,Karnataka,Chikkaballapur,S10,141
